#Pose	CONSRANK_U	CONSRANK	contact_log_sum	contact_square_sum	residue_sum	residue_average	residue_log_sum	residue_square_sum	residue_average_ligand	residue_average_receptor	residue_sum_ligand	residue_sum_receptor
23	3.775	0.10202702702702703	-87.37012305728175	0.435875	10.285	0.38092592592592595	-30.004801763282625	4.694724999999999	0.47500000000000003	0.27961538461538465	6.65	3.6350000000000002
24	4.919999999999999	0.11714285714285712	-91.97233116422468	0.62795	13.46	0.420625	-29.714632279909416	6.2452499999999995	0.4278947368421053	0.4099999999999999	8.13	5.329999999999999
25	0.7450000000000003	0.02403225806451614	-117.02618665225788	0.019575000000000002	5.915000000000001	0.22750000000000004	-40.7498321931862	1.5980750000000004	0.22625000000000003	0.22857142857142856	2.7150000000000003	3.1999999999999997
26	0.8500000000000004	0.02023809523809525	-177.84470033521342	0.027400000000000004	9.145	0.2771212121212121	-46.282048106911624	3.158225	0.32	0.22566666666666668	5.76	3.3850000000000002
27	1.6349999999999998	0.06539999999999999	-75.1944590494838	0.1694750000000001	8.99	0.4280952380952381	-19.311158390247314	4.311450000000001	0.3545	0.49500000000000005	3.545	5.445
28	5.29	0.09981132075471698	-128.2891549383624	0.6204999999999999	14.014999999999999	0.36881578947368415	-42.27329088412729	6.088674999999999	0.41875	0.31333333333333324	8.375	5.639999999999999
29	2.37	0.06236842105263158	-114.23613399760792	0.21270000000000003	11.559999999999997	0.39862068965517233	-29.332226149241457	5.282999999999999	0.3684375	0.4357692307692308	5.895	5.665
30	0.6850000000000002	0.020147058823529417	-144.42515551617353	0.028625000000000005	7.615000000000001	0.30460000000000004	-34.46052433633301	2.984675	0.3336363636363637	0.28178571428571425	3.6700000000000004	3.945
31	1.23	0.04392857142857143	-95.77469970570188	0.0804	9.055	0.39369565217391306	-22.94727649260797	4.0146250000000006	0.35916666666666663	0.4313636363636364	4.31	4.745
32	1.3650000000000004	0.05055555555555557	-82.78414316531949	0.08022499999999999	7.170000000000001	0.35850000000000004	-23.018994399879137	3.19795	0.29	0.44222222222222224	3.1899999999999995	3.98
33	2.705000000000001	0.08453125000000003	-83.26439566555271	0.279225	11.234999999999996	0.43211538461538446	-23.533458704248325	5.3546749999999985	0.44312500000000005	0.41450000000000004	7.090000000000001	4.1450000000000005
34	3.4300000000000006	0.08365853658536587	-108.18728114194971	0.36804999999999993	13.775	0.44435483870967746	-26.491651649045284	6.560024999999998	0.47500000000000003	0.4191176470588236	6.65	7.125000000000001
35	1.8350000000000002	0.0655357142857143	-83.93568811503312	0.17457500000000004	11.069999999999999	0.4427999999999999	-21.595741090242388	5.3112499999999985	0.4880000000000001	0.4126666666666667	4.880000000000001	6.19
36	1.7000000000000002	0.05666666666666667	-90.22309580674921	0.1241	10.754999999999997	0.3983333333333332	-27.1260149309697	4.871975	0.32653846153846156	0.465	4.245	6.510000000000001
37	0.6550000000000004	0.01723684210526317	-156.213569131152	0.012374999999999994	4.7	0.1620689655172414	-59.31954276819464	1.0552	0.15666666666666668	0.1678571428571429	2.35	2.3500000000000005
38	0.9350000000000005	0.02460526315789475	-144.9076222806426	0.02822500000000001	6.515	0.21016129032258063	-51.07715744672196	1.6230249999999997	0.21718749999999995	0.20266666666666672	3.474999999999999	3.040000000000001
39	4.010000000000001	0.08183673469387756	-131.49892632422157	0.43259999999999993	14.084999999999999	0.42681818181818176	-29.899367388205984	6.561874999999999	0.4421875	0.41235294117647064	7.075	7.010000000000001
40	0.7350000000000004	0.02370967741935485	-116.79413440024493	0.018275000000000003	4.535	0.16196428571428573	-52.82733583756387	0.8168249999999999	0.1228125	0.2141666666666667	1.965	2.5700000000000003
41	1.2050000000000003	0.030125000000000006	-145.4102511372044	0.04497499999999999	8.564999999999998	0.2854999999999999	-40.85670645143422	2.9910250000000014	0.3575	0.20321428571428574	5.72	2.845
42	3.430000000000001	0.07795454545454548	-121.78272981513717	0.3598499999999999	14.244999999999997	0.4316666666666666	-29.28975332025935	6.651774999999997	0.46821428571428575	0.40473684210526323	6.555000000000001	7.690000000000001
43	0.4450000000000002	0.01271428571428572	-159.4038168839435	0.007875	8.959999999999999	0.2890322580645161	-41.490978079052276	3.088150000000001	0.3628125	0.21033333333333334	5.805	3.1550000000000002
44	1.385	0.0512962962962963	-81.5959187179617	0.078875	6.92	0.346	-23.66562156480419	2.9929500000000004	0.3015	0.3905	3.0149999999999997	3.9050000000000002
45	2.775	0.0925	-79.9242458198741	0.355725	10.745000000000001	0.4298	-22.93363886327286	5.1184249999999984	0.4850000000000001	0.38642857142857145	5.335000000000001	5.41
46	0.3500000000000001	0.009722222222222224	-173.8920433175952	0.005149999999999998	3.695000000000001	0.1368518518518519	-57.086084922213686	0.6066250000000001	0.1308823529411765	0.147	2.2250000000000005	1.47
47	1.1550000000000005	0.030394736842105276	-142.24403690640713	0.057975	6.320000000000002	0.2528000000000001	-40.53949540272504	2.4020499999999996	0.15000000000000002	0.40700000000000003	2.2500000000000004	4.07
48	2.135	0.08539999999999999	-65.61683977206417	0.23537500000000003	9.764999999999999	0.48824999999999996	-14.852503309140282	4.975225	0.48000000000000004	0.49833333333333335	5.28	4.485
49	1.8349999999999997	0.05734374999999999	-105.71031726781003	0.18312500000000007	8.99	0.3745833333333333	-26.44698736097116	4.0038	0.3363636363636363	0.406923076923077	3.6999999999999993	5.290000000000001
50	0.9750000000000001	0.03145161290322581	-121.23458495505656	0.05497499999999999	7.630000000000001	0.3052	-37.01749449169507	3.2679	0.17066666666666663	0.507	2.5599999999999996	5.07
51	0.6500000000000001	0.01710526315789474	-169.8338914815097	0.027849999999999996	7.134999999999999	0.2642592592592592	-43.42929009763067	2.765575	0.22909090909090904	0.28843749999999996	2.5199999999999996	4.614999999999999
52	2.975	0.09015151515151515	-83.70475121299417	0.340275	11.854999999999997	0.43907407407407395	-23.29847303981402	5.600574999999999	0.40499999999999997	0.47576923076923083	5.67	6.1850000000000005
53	4.545	0.11653846153846154	-86.65464765852222	0.586325	13.524999999999999	0.4098484848484848	-32.44800028899592	6.2494749999999994	0.4278947368421053	0.38535714285714284	8.13	5.395
54	1.4400000000000002	0.045000000000000005	-103.35909847837493	0.08200000000000002	8.13	0.3126923076923077	-34.45485140189084	3.3141	0.17750000000000002	0.42857142857142866	2.1300000000000003	6.000000000000001
55	1.3450000000000004	0.030568181818181828	-157.3852120617712	0.05017499999999997	11.44	0.3364705882352941	-41.38630546150731	4.493049999999999	0.41975000000000007	0.2175	8.395000000000001	3.045
56	1.8399999999999999	0.05411764705882353	-105.99786565167669	0.14360000000000003	11.534999999999998	0.41196428571428567	-26.30453732108102	5.237025000000001	0.4061538461538462	0.41700000000000004	5.28	6.255000000000001
57	4.8100000000000005	0.1023404255319149	-111.80886916277726	0.56925	13.770000000000001	0.3721621621621622	-40.86679381568989	6.028649999999998	0.4278947368421053	0.31333333333333324	8.13	5.639999999999999
58	1.3600000000000003	0.04689655172413794	-92.95033821341929	0.08145000000000002	9.350000000000001	0.37400000000000005	-27.161397038058194	4.163600000000001	0.2791666666666666	0.4615384615384616	3.3499999999999996	6.000000000000001
